Theta, Alpha, Low_beta, High_beta, Gamma
198.765,76.1896,38.7104,18.9883,7.95696,
198.765,76.1896,38.7104,18.9883,7.95696,
198.765,76.1896,38.7104,18.9883,7.95696,
198.765,76.1896,38.7104,18.9883,7.95696,
198.765,76.1896,38.7104,18.9883,7.95696,
198.765,76.1896,38.7104,18.9883,7.95696,
198.765,76.1896,38.7104,18.9883,7.95696,
198.765,76.1896,38.7104,18.9883,7.95696,
198.765,76.1896,38.7104,18.9883,7.95696,
198.765,76.1896,38.7104,18.9883,7.95696,
198.765,76.1896,38.7104,18.9883,7.95696,
198.765,76.1896,38.7104,18.9883,7.95696,
198.765,76.1896,38.7104,18.9883,7.95696,
198.765,76.1896,38.7104,18.9883,7.95696,
10.7417,3.6055,1.65038,0.798859,0.356403,
10.7417,3.6055,1.65038,0.798859,0.356403,
10.7417,3.6055,1.65038,0.798859,0.356403,
10.7417,3.6055,1.65038,0.798859,0.356403,
10.7417,3.6055,1.65038,0.798859,0.356403,
10.7417,3.6055,1.65038,0.798859,0.356403,
10.7417,3.6055,1.65038,0.798859,0.356403,
10.7417,3.6055,1.65038,0.798859,0.356403,
10.7417,3.6055,1.65038,0.798859,0.356403,
10.7417,3.6055,1.65038,0.798859,0.356403,
10.7417,3.6055,1.65038,0.798859,0.356403,
10.7417,3.6055,1.65038,0.798859,0.356403,
10.7417,3.6055,1.65038,0.798859,0.356403,
0.920776,0.525026,0.239805,0.0846317,0.0516876,
0.920776,0.525026,0.239805,0.0846317,0.0516876,
0.920776,0.525026,0.239805,0.0846317,0.0516876,
0.920776,0.525026,0.239805,0.0846317,0.0516876,
0.920776,0.525026,0.239805,0.0846317,0.0516876,
0.920776,0.525026,0.239805,0.0846317,0.0516876,
0.920776,0.525026,0.239805,0.0846317,0.0516876,
0.920776,0.525026,0.239805,0.0846317,0.0516876,
0.920776,0.525026,0.239805,0.0846317,0.0516876,
0.920776,0.525026,0.239805,0.0846317,0.0516876,
0.920776,0.525026,0.239805,0.0846317,0.0516876,
0.920776,0.525026,0.239805,0.0846317,0.0516876,
0.920776,0.525026,0.239805,0.0846317,0.0516876,
0.0154915,0.0108598,0.00788738,0.00801986,0.0139174,
0.0154915,0.0108598,0.00788738,0.00801986,0.0139174,
0.0154915,0.0108598,0.00788738,0.00801986,0.0139174,
0.0154915,0.0108598,0.00788738,0.00801986,0.0139174,
0.0154915,0.0108598,0.00788738,0.00801986,0.0139174,
0.0154915,0.0108598,0.00788738,0.00801986,0.0139174,
0.0154915,0.0108598,0.00788738,0.00801986,0.0139174,
0.0154915,0.0108598,0.00788738,0.00801986,0.0139174,
0.0154915,0.0108598,0.00788738,0.00801986,0.0139174,
0.0154915,0.0108598,0.00788738,0.00801986,0.0139174,
0.0154915,0.0108598,0.00788738,0.00801986,0.0139174,
0.016207,0.0118367,0.00863729,0.00853059,0.0132006,
0.016207,0.0118367,0.00863729,0.00853059,0.0132006,
0.016207,0.0118367,0.00863729,0.00853059,0.0132006,
0.016207,0.0118367,0.00863729,0.00853059,0.0132006,
0.016207,0.0118367,0.00863729,0.00853059,0.0132006,
0.016207,0.0118367,0.00863729,0.00853059,0.0132006,
0.016207,0.0118367,0.00863729,0.00853059,0.0132006,
0.016207,0.0118367,0.00863729,0.00853059,0.0132006,
0.016207,0.0118367,0.00863729,0.00853059,0.0132006,
0.016207,0.0118367,0.00863729,0.00853059,0.0132006,
0.016207,0.0118367,0.00863729,0.00853059,0.0132006,
0.016207,0.0118367,0.00863729,0.00853059,0.0132006,
